 ,de,en,es,fr,it,ja,ko,pt,ru,zh
readme.portedMethodsHeader,Portierte Methoden,Ported Methods,Métodos portados,Méthodes portées,Metodi esportati,移植されたメソッド,이식된 방법,Métodos portados,Портированные методы,移植方法
readme.libraryShortDesc,Konvertierung der Array-Methoden von JavaScript in AutoHotkey,Conversion of JavaScript's Array methods to AutoHotkey,Conversión de métodos Array de JavaScript a AutoHotkey,Conversion des méthodes Array de JavaScript en AutoHotkey,Conversione dei metodi Array di JavaScript in AutoHotkey,JavaScriptのArrayメソッドのAutoHotkeyへの変換,자바스크립트 의 배열 메소드를 오토핫키 로 변환,Conversão de métodos Array de JavaScript para AutoHotkey,Преобразование методов массива JavaScript в AutoHotkey,JavaScript 数组方法到 AutoHotkey 的转换
readme.libraryLongDesc,"AutoHotkey verfügt nicht über integrierte Iterationshilfsmethoden (ab 1.1.33), um viele der in anderen Sprachen üblichen Array-Verhaltensweisen auszuführen.",AutoHotkey lacks built-in iteration helper methods (as of 1.1.33) to perform many of the common array behaviors found in other languages. This package ports most of JavaScript's Array object methods to AutoHotkey's Array object.,AutoHotkey carece de métodos auxiliares de iteración integrados (a partir de 1.1.33) para realizar muchos de los comportamientos de matrices comunes que se encuentran en otros lenguajes.,AutoHotkey ne dispose pas de méthodes d'aide à l'itération intégrées (à partir de la version 1.1.33) pour exécuter de nombreux comportements de tableau courants trouvés dans d'autres langages.,AutoHotkey (a partire dalla versione 1.1.33) non dispone di metodi per l'iterazione integrati per eseguire molti dei comportamenti comuni degli array come in altri linguaggi.,AutoHotkeyには（1.1.33現在）、他の言語で見られる一般的な配列動作の多くを実行するための、組み込みの繰り返しヘルパーメソッドがありません。本パッケージは、JavaScriptのArrayオブジェクトメソッドのほとんどをAutoHotkeyのArrayオブジェクトに移植します。,오토핫키 에는 다른 언어에서 볼 수 있는 많은 일반적인 배열 동작을 수행하기 위한 내장된 반복 도우미 메서드(1.1.33 기준)가 없습니다.,AutoHotkey não possui métodos auxiliares de iteração integrados (a partir de 1.1.33) para executar muitos dos comportamentos comuns de array encontrados em outras linguagens.,"В AutoHotkey отсутствуют встроенные вспомогательные методы итерации (начиная с версии 1.1.33), позволяющие выполнять многие из распространенных действий с массивами, встречающихся в других языках.",AutoHotkey 缺乏内置的迭代辅助方法（截至 1.1.33）来执行其他语言中常见的许多常见数组行为。
readme.usage.example.comment1,Auf den doppelten Wert abbilden,Map to doubled value,Mapa al valor duplicado,Mapper à la valeur doublée,Mappare a valori raddoppiati,倍の値にマップ,두 배의 값으로 매핑,Mapear para valor duplicado,Сопоставить удвоенное значение,映射到双倍值
readme.usage.example.comment2,Zuordnung zur Objekteigenschaft,Map to object property,Asignar a propiedad de objeto,Mapper à la propriété de l'objet,Mappare a oggetti con proprietà,オブジェクト・プロパティへのマップ,객체 속성에 매핑,Mapear para propriedade do objeto,Сопоставить свойство объекта,映射到对象属性
readme.usage.example.comment3,Methodenverkettung,Method chaining,Encadenamiento de métodos,Chaînage de méthodes,Concatenamento di metodi,メソッドの連鎖,메소드 체이닝,Encadeamento de métodos,Цепочка методов,方法链接
readme.usage.header,Verwendung,Usage,Uso,Usage,Utilizzo,使用方法,용법,Uso,Применение,用法
readme.sorting.header,Sortierung,Sorting,Clasificación,Tri,Ordinamento,ソート,정렬,Ordenação,Сортировка,排序
readme.sorting.desc,JavaScript macht keine Start-/End- oder Links-/Rechts-Parameter verfügbar und diese Sortierung erfolgt auch nicht.,JavaScript does not expose start/end or left/right parameters and neither does this sort.,JavaScript no expone los parámetros de inicio/fin o izquierda/derecha y tampoco este tipo.,JavaScript n'expose pas les paramètres début/fin ou gauche/droite et ce tri non plus.,"JavaScript non espone i parametri di inizio/fine o sinistra/destra, tantomeno questa funzione.",JavaScriptは、開始/終了や左/右のパラメータを公開しない。,자바스크립트 는 시작/끝 또는 왼쪽/오른쪽 매개변수를 노출하지 않으며 이 정렬도 마찬가지입니다.,JavaScript não expõe parâmetros de início/fim ou esquerda/direita e nem essa classificação.,"JavaScript не предоставляет параметры начала/конца или левого/правого значения, а также не осуществляет сортировку.",JavaScript 不公开开始/结束或左/右参数，这种排序也不公开。
readme.installation.header,Installation,Installation,Instalación,Installation,Installazione,インストール,설치,Instalação,Монтаж,安装
readme.installation.step1,Navigieren Sie in einem Terminal oder einer Befehlszeile zu Ihrem Projektordner:,In a terminal or command line navigated to your project folder:,En una terminal o línea de comando navegó a la carpeta de su proyecto:,"Dans un terminal ou une ligne de commande, accédez au dossier de votre projet :",In un terminale o una riga di comando con accesso alla cartella del tuo progetto:,ターミナルまたはコマンドラインでプロジェクトフォルダーに移動する：,터미널이나 명령줄에서 프로젝트 폴더로 이동합니다.,Em um terminal ou linha de comando navegue até a pasta do seu projeto:,В терминале или командной строке перейдите в папку вашего проекта:,在导航到项目文件夹的终端或命令行中：
readme.installation.step2,Sie können die Bibliothek auch von [./export.ahk auf GitHub](https://raw.githubusercontent.com/chunjee/array.ahk/master/export.ahk) überprüfen oder kopieren.,You may also review or copy the library from [./export.ahk on GitHub](https://raw.githubusercontent.com/chunjee/array.ahk/master/export.ahk),También puede revisar o copiar la biblioteca desde [./export.ahk en GitHub](https://raw.githubusercontent.com/chunjee/array.ahk/master/export.ahk),Vous pouvez également consulter ou copier la bibliothèque depuis [./export.ahk sur GitHub](https://raw.githubusercontent.com/chunjee/array.ahk/master/export.ahk),Puoi anche rivedere o copiare la libreria da [./export.ahk su GitHub](https://raw.githubusercontent.com/chunjee/array.ahk/master/export.ahk),GitHubの[./export.ahk](https://raw.githubusercontent.com/chunjee/array.ahk/master/export.ahk)からライブラリをレビューまたはコピーすることもできます。,[./export.ahk on GitHub](https://raw.githubusercontent.com/chunjee/array.ahk/master/export.ahk)에서 라이브러리를 검토하거나 복사할 수도 있습니다.,Você também pode revisar ou copiar a biblioteca de [./export.ahk no GitHub](https://raw.githubusercontent.com/chunjee/array.ahk/master/export.ahk),Вы также можете просмотреть или скопировать библиотеку из [./export.ahk на GitHub](https://raw.githubusercontent.com/chunjee/array.ahk/master/export.ahk).,您还可以从 GitHub 上的 [./export.ahk](https://raw.githubusercontent.com/chunjee/array.ahk/master/export.ahk) 查看或复制该库
readme.installation.step3,In Ihrem Code:,In your code:,En tu código:,Dans ton code :,Nel tuo codice:,あなたのコードで：,코드에서:,No seu código:,В вашем коде:,在你的代码中：
concat.desc,"Wird verwendet, um zwei oder mehr Arrays zu verbinden.","Used to join two or more arrays. This method does not change the existing arrays, but returns a new array, containing the values of the joined arrays.",Se utiliza para unir dos o más matrices.,Utilisé pour joindre deux ou plusieurs tableaux.,"Utilizzato per unire due o più array. Questo metodo non cambia gli array esistenti, ma ritorna un nuovo array contenente i valori degli array concatenati.",2つ以上の配列を結合するために使用します。このメソッドは既存の配列を変更せず、結合した配列の値を含む新しい配列を返します。,두 개 이상의 배열을 결합하는 데 사용됩니다.,Usado para unir dois ou mais arrays.,Используется для объединения двух или более массивов.,用于连接两个或多个数组。
concat.argNote1,"(Standard `[]`) Arrays und/oder Werte, die zu einem neuen Array verkettet werden sollen.","(Default `[]`) Arrays and/or values to concatenate into a new array. If all valueN parameters are omitted, concat returns a shallow copy of the existing array on which it is called.",(Predeterminado `[]`) Matrices y/o valores para concatenar en una nueva matriz.,(Par défaut `[]`) Tableaux et/ou valeurs à concaténer dans un nouveau tableau.,"(Predefinito `[]`) Array e/o valori da concatenare in un nuovo array. Se tutti i parametri valueN sono omessi, concat ritorna una copia dello stesso array su cui è chiamato il metodo.",,(기본값 `[]`) 새 배열로 연결할 배열 및/또는 값입니다.,(Padrão `[]`) Matrizes e/ou valores para concatenar em uma nova matriz.,(По умолчанию `[]`) Массивы и/или значения для объединения в новый массив.,（默认“[]”）要连接到新数组中的数组和/或值。
concat.return,Eine neue Array-Instanz. ,A new Array instance. Containing the values of the joined arrays.,Una nueva instancia de Array. ,Une nouvelle instance de tableau. ,Una nuova istanza di Array. Contiene i valori degli array concatenati.,新しい配列のインスタンス。結合された配列の値を含みます。,새로운 Array 인스턴스. ,Uma nova instância de Array. ,Новый экземпляр массива. ,一个新的数组实例。
every.desc,"Testet, ob alle Elemente im Array den von der bereitgestellten Funktion implementierten Test bestehen.",Tests whether all elements in the array pass the test implemented by the provided function.,Prueba si todos los elementos de la matriz pasan la prueba implementada por la función proporcionada.,Teste si tous les éléments du tableau réussissent le test implémenté par la fonction fournie.,Verifica se tutti gli elementi nell'array superano il test implementato dalla funzione fornita.,配列のすべての要素が、指定された関数によって実装されたテストに合格するかどうかをテストします。,배열의 모든 요소가 제공된 함수에 의해 구현된 테스트를 통과하는지 테스트합니다.,Testa se todos os elementos da matriz passam no teste implementado pela função fornecida.,"Проверяет, проходят ли все элементы массива тест, реализованный предоставленной функцией.",测试数组中的所有元素是否通过所提供函数实现的测试。
every.argNote1,"Eine Funktion, die für jedes Element im Array ausgeführt werden soll.",A function to be run for each element in the array.,Una función que se ejecutará para cada elemento de la matriz.,Une fonction à exécuter pour chaque élément du tableau.,Una funzione da eseguire per ogni elemento dell'array.,配列の各要素に対して実行される関数。,배열의 각 요소에 대해 실행될 함수입니다.,Uma função a ser executada para cada elemento do array.,"Функция, запускаемая для каждого элемента массива.",对数组中的每个元素运行的函数。
every.return,"`true`, wenn alle Elemente die Testfunktion bestehen, andernfalls `false`, wenn dies bei einem nicht der Fall war.","`true` if all elements pass the test function, else `false` if any did not.",""verdadero" si todos los elementos pasan la función de prueba; en caso contrario, "falso" si alguno no lo hizo.","`true` si tous les éléments réussissent la fonction de test, sinon `false` s'il n'y en a pas.",""true" se tutti gli elementi superano il test della funzione, altrimenti "false" se qualsiasi non lo ha superato.",すべての要素がテスト関数をパスすれば `true`、パスしなければ `false` となる。,"모든 요소가 테스트 함수를 통과하면 `true`이고, 그렇지 않으면 `false`입니다.","`true` se todos os elementos passarem na função de teste, caso contrário `false` se algum não passou.","`true`, если все элементы прошли тестовую функцию, иначе `false`, если хотя бы один из них не прошел.",如果所有元素都通过了测试函数，则为“true”；如果有元素未通过，则为“false”。
fill.desc,Füllen Sie alle Array-Elemente mit einem statischen Wert.,Fill all the array elements with a static value.,Llene todos los elementos de la matriz con un valor estático.,Remplissez tous les éléments du tableau avec une valeur statique.,Modifica tutti gli elementi dell'array con un valore statico.,配列のすべての要素を静的な値で埋めます。,모든 배열 요소를 정적 값으로 채웁니다.,Preencha todos os elementos do array com um valor estático.,Заполните все элементы массива статическим значением.,用静态值填充所有数组元素。
fill.argNote1,"Der Wert, mit dem das Array gefüllt werden soll.",The value to fill the array with.,El valor con el que llenar la matriz.,La valeur avec laquelle remplir le tableau.,Il valore con cui modificare l'array.,配列を埋める値。,배열을 채울 값입니다.,O valor com o qual preencher a matriz.,"Значение, которым нужно заполнить массив.",用于填充数组的值。
fill.argNote2,"(Standard `1`) Der Index, mit dem das Füllen des Arrays beginnen soll.","(Default `1`) The index to start filling the array. If negative, it is treated as array.Count() + start",(Predeterminado `1`) El índice para comenzar a llenar la matriz.,(Par défaut `1`) L'index pour commencer à remplir le tableau.,"(Predefinito `1`) L'indice per iniziare a modificare l'array. Se negativo, viene interpretato come array.Count() + start",(デフォルト `1`） 配列への代入を開始するインデックス。負数の場合は array.Count() + start として扱われます。,(기본값 `1`) 배열 채우기를 시작할 인덱스입니다.,(Padrão `1`) O índice para começar a preencher o array.,"(По умолчанию `1`) Индекс, с которого начинается заполнение массива.",（默认为“1”）开始填充数组的索引。
fill.argNote3,"(Standard `array.Count()`) Der Wert, mit dem das Array gefüllt werden soll.","(Default `array.Count()`) The value to fill the array with. If negative, it is treated as `array.Count() + end`",(Predeterminado `array.Count()`) El valor con el que llenar la matriz.,(Par défaut `array.Count()`) La valeur avec laquelle remplir le tableau.,"(Predefinito `array.Count()`) Il valore con cui modificare l'array. Se negativo, viene interpretato come array.Count() + end",(デフォルト `array.Count()`) 配列を埋める値。負数の場合は `array.Count() + end` として扱われます。,(기본값 `array.Count()`) 배열을 채울 값입니다.,(Padrão `array.Count()`) O valor com o qual preencher o array.,(По умолчанию `array.Count()`) Значение для заполнения массива.,（默认 `array.Count()`）用于填充数组的值。
fill.return,"Das geänderte Array, gefüllt mit Wert.","The modified array, filled with value.","La matriz modificada, llena de valor.","Le tableau modifié, rempli de valeur.",L'array modificato con value.,変更された配列。,값으로 채워진 수정된 배열입니다.,"A matriz modificada, preenchida com valor.","Модифицированный массив, заполненный значением.",修改后的数组，填充有值。
docs.headers.return,Kehrt zurück,Returns,Devoluciones,Retour,ritorna,返還,보고,Devoluções,Возврат,退货
docs.headers.example,Beispiel,Example,Ejemplo,Exemple,esempio,例,예,Exemplo,Пример,例子
docs.headers.arguments,Argumente,Arguments,Argumentos,Arguments,argomenti,論争,인수,Argumentos,Аргументы,论点
